date,disc_score,is_abnormal
2024-01-02,0.49557915329933167,1
2024-01-03,0.4909287691116333,1
2024-01-04,0.5114836096763611,1
2024-01-05,0.5391313433647156,0
2024-01-08,0.5215664505958557,0
2024-01-09,0.5074104070663452,1
2024-01-10,0.5252425670623779,0
2024-01-11,0.5506687760353088,0
2024-01-12,0.5097962617874146,1
2024-01-15,0.5222617387771606,0
2024-01-16,0.5176019072532654,0
2024-01-17,0.5158284902572632,0
2024-01-18,0.5067046284675598,1
2024-01-19,0.5461568236351013,0
2024-01-22,0.5380725860595703,0
2024-01-23,0.5065439939498901,1
2024-01-24,0.5270498991012573,0
2024-01-25,0.4984387159347534,1
2024-01-26,0.5381614565849304,0
2024-01-29,0.5186960697174072,0
2024-01-30,0.5377793312072754,0
2024-01-31,0.49647340178489685,1
2024-02-01,0.5369260311126709,0
2024-02-02,0.489841490983963,1
2024-02-15,0.537708580493927,0
2024-02-16,0.5095305442810059,1
2024-02-19,0.5473042130470276,0
2024-02-20,0.544804573059082,0
2024-02-21,0.5109975934028625,1
2024-02-22,0.5432130098342896,0
2024-02-23,0.5449808835983276,0
2024-02-26,0.5428768396377563,0
2024-02-27,0.4862494468688965,1
2024-02-29,0.5491260886192322,0
2024-03-01,0.48906922340393066,1
2024-03-04,0.4854237139225006,1
2024-03-05,0.5430561304092407,0
2024-03-06,0.5318914651870728,0
2024-03-07,0.529030978679657,0
2024-03-08,0.4912467896938324,1
2024-03-11,0.5121330618858337,0
2024-03-12,0.5390918254852295,0
2024-03-13,0.5059100389480591,1
2024-03-14,0.5246626734733582,0
2024-03-15,0.5160596370697021,0
2024-03-18,0.5575906038284302,0
2024-03-19,0.5333514213562012,0
2024-03-20,0.5398681163787842,0
2024-03-21,0.5395026206970215,0
2024-03-22,0.4929228127002716,1
2024-03-25,0.5097046494483948,1
2024-03-26,0.47742483019828796,1
2024-03-27,0.5437324643135071,0
2024-03-28,0.5329184532165527,0
2024-03-29,0.5569424033164978,0
