date,disc_score,is_abnormal
2024-01-02,0.5405795574188232,0
2024-01-03,0.5403558611869812,0
2024-01-04,0.5404269695281982,0
2024-01-05,0.5414704084396362,0
2024-01-08,0.5398644208908081,0
2024-01-09,0.5410481095314026,0
2024-01-10,0.5404492020606995,0
2024-01-11,0.539635181427002,0
2024-01-12,0.5404259562492371,0
2024-01-15,0.5392947793006897,1
2024-01-16,0.540434718132019,0
2024-01-17,0.5393733978271484,1
2024-01-18,0.5400354266166687,0
2024-01-19,0.5406100749969482,0
2024-01-22,0.5386040210723877,1
2024-01-23,0.5381283164024353,1
2024-01-24,0.5393858551979065,1
2024-01-25,0.5410022735595703,0
2024-01-26,0.5406855940818787,0
2024-01-29,0.5408591628074646,0
2024-01-30,0.5386990308761597,1
2024-01-31,0.5408154726028442,0
2024-02-01,0.5402686595916748,0
2024-02-02,0.5405887961387634,0
2024-02-15,0.5387108325958252,1
2024-02-16,0.5388872623443604,1
2024-02-19,0.5403614640235901,0
2024-02-20,0.5362063646316528,1
2024-02-21,0.540803074836731,0
2024-02-22,0.5405388474464417,0
2024-02-23,0.5401222109794617,0
2024-02-26,0.5417765378952026,0
2024-02-27,0.53843754529953,1
2024-02-29,0.5410951972007751,0
2024-03-01,0.5400659441947937,0
2024-03-04,0.5405245423316956,0
2024-03-05,0.5396655201911926,0
2024-03-06,0.5409083366394043,0
2024-03-07,0.5399367213249207,0
2024-03-08,0.5395787358283997,0
2024-03-11,0.540761411190033,0
2024-03-12,0.5402701497077942,0
2024-03-13,0.5388293266296387,1
2024-03-14,0.5388737320899963,1
2024-03-15,0.5402329564094543,0
2024-03-18,0.541106104850769,0
2024-03-19,0.5407056212425232,0
2024-03-20,0.5372071862220764,1
2024-03-21,0.5394890904426575,0
2024-03-22,0.5397583842277527,0
2024-03-25,0.5391741394996643,1
2024-03-26,0.5399568676948547,0
2024-03-27,0.5408968925476074,0
2024-03-28,0.5405603051185608,0
2024-03-29,0.5406665205955505,0
